Replies_subject,relation,Replies_object
anyone,Just was wondering in,case
Answer1378,called,LB support
Answer1378,ordered,my Semitec
Answer1378,'d use again,them
Answer1379,am having,this
Answer1379,am having,issue
bed,ran on,side
bed,ran out of,adjustment range
Answer1379,had just tried,level
Answer1379,started,print
1 mm,works,fine
Answer1379,did tighten,bolt
Answer1379,did tighten bolt on,it
Answer1380,can get down,it
amount,is about,least
small gear,Is locked down and tight on,motor shaft
large gear,Is,excessivly worn
Taz,make,sure
Taz 1,check,idler arm bearing
Answer1380,can feel between,gears
Answer1380,'ll check out,bearings
extruder calibrations,see,your e-steps is off at all
User1380,run,extruder calibrations
Answer1380,swapped,hotend
one extrusion,FWIW measured,other 98 mm
Both,should,should have 100
Answer1380,measured from,top of extruder to tape
User1380,upgrading,Slic3r version
User1380,are using,stock taz 1 software
Answer1380,'m using,Simplify3D
either,make,difference
Answer1380,try,Cura
It looks,might,might loose
Answer1380,'ll give look at_time,next week
Answer1380,'ll give,look
Answer1380,get back to,work
User1381,buying,new one
direct drive extruder,get,really heavy
triple,would require,bowden setup
Most,would,would electrical
bowden setups,can,Also can picky
bowden setups,slow,reaction
amount,is in,pipe between nozzle
alot,redesign,everything
User1383,get,chance
other prints,seem,be doing
other prints,doing,just fine
Answer1385,used for,first initial print
Answer1385,am using,fine settings provided by Lulzbot
Answer1385,did download,STL file
print,comes out,looking
carefully,build,your packing box
User1387,using,Windows
Answer1387,would make,sure
SD card,use,win32diskimager
SD card,format,it
Change,password away from,raspberry
type,is in,startx
Shutdown,remove,display
Shutdown,remove,plug
Shutdown,remove,keyboard
User1387,pointing browser to,octopi.local
User1387,access,interface
User1387,pointing,browser
User1387,will get,menu
User1387,plug directly,your 3D printer
User1388,may have,little wobble
little wobble,is in,pictures
tightened x belt,is in,effort fight
anyone else,runs In,case
little bit,made,x axis stay square
little bit,made x axis stay square through,multiple prints
thermistor,is,Orange
thermistor,is Orange On,2.1 Buddaschnozzle
Answer1394,had,chance play with it
TAZ,came with,hexagon hot end
My TAZ 5,prinpted out of,almost box
budas,seem,need
budas,need,much slower first layer
Answer1394,make up,hot ends
Answer1394,also picked up,KEMA nozzles
Answer1394,use,5 version
Answer1394,print,some
has,identical axle for,hobbed bolt
piercet,wrote,extruder body
User1395,should have,2 bearings alligned
bearing sockets,can,can tight
can lead,might out of,might alignment
body,is in,fact
body,is in,question
flexystruder body,find,access to proper drill press.piercet
wrote,obtain,replacement insert
Answer1395,go down,road
that,needs,replacing
User1395,have,gummed bearing
etc.The bearings,appear,spin
User1395,print,it
jamming,be,easily flow-related
There may flaw,is in,model
brim,would clean,nozzle
skirt/brim,traps,most of pre-extrusion ooze
nozzle height,is adjusted in,center of bed
homing,is in,X0 Y0 corner
nozzle height,is,adjusted
10 hours,is with,problems at all
Answer1398,was trying,finally worked
Answer1398,'ve had yet with,PLA
Answer1398,so now 'm feeling,optimistic
Answer1398,got,it
Answer1398,was using hexagon hotend with,0.4 mm nozzle
Answer1398,going through,numerous failed prints
hotend,leaking,amounts of plastic
nozzle threads,stuck inside,hot end
nozzle,promptly snapped,leaving
14-hour one,is,now almost done
idler bolts,bumped down,speed settings
Answer1398,tried with,changes
Answer1398,think,you are resorting to that
AO hex hotends,have,quality control issues
Answer1398,However see none with,second hotend
Answer1398,However see,none
Answer1399,Well printed,my problem part
hobbed bolt,showed,only minor ABS accumulation on it
distance,was,unchanged
distance,was unchanged at,5.0 mm
three parts,is with,few retractions
Answer1399,also seen,nothing
my nuts,have,two different orientations
Answer1399,often experience as,part of my problem print failures
loading-up,are due to,too-high extruding
User1399,using,aluminum
flashing,used on,gutters
User1399,putting,shim
User1399,using,brass shim material
User1399,putting shim down,beside each of two nuts
Answer1399,doing,that
User1400,have,heater cartridge
error,is,due
error,is due to,thermistor
Your LulzBot TAZ 3D printer,should have,0.35 mm nozzle
drawing,is in,upper left
dimensions,set,location
dimensions,set location in,direction
2X 104.25 mm dimension,is in,middle of bottom of part
airy upper layers,look like,like extrusion
air,so hits,lower heatfin
PLA,dip,tip
PLA,dip tip into,olive oil
Folks,call,this
premise,is oil,should help
hotend walls,pass better,PLA
User1405,look into,mods people
That,was,clever
That,was,temporary
Answer1407,'ll keep,trick
Answer1407,'ll keep trick in,mind
anybody,Does have,experience
User1409,can slice,load
User1409,can slice,file
cat0404007,Save,cash
Taz5,shipped with,Hexagon hotend
Taz 4 dual extruder firmware,is,designed
Taz 4 dual extruder firmware,is designed for,two Buddaschnozzle hotends
configuration.h file,has,differences
Taz4 #define TEMP,_,SENSOR
Taz4 #define TEMP,_ SENSOR For,example
gear,is,correct
Answer1411,add to,there
Answer1411,might suggest to,Lulzbot
Answer1411,replaced,gear
SD card,is,plugged
SD card,only reads/understands,gcode
SD card,only reads/understands,control code
User1412,print without,your computer
profiles,create,printer control code files
profiles,are,used
User1412,allow,you
User1412,save to,SD card
your,computer,CuraEngine/Slic3r
upper edge,would require,supports
Polycarbonate filament,can,can bought
project,is in,Simplify3D
my concern,be,strength
experience,is with,material
layer height,Again would control,resolution
part,would,would about 3.5 lbs of filament
print,switch out,filament spools
STLs,import for,modifying
STLs,import into,SketchUp
User1414,need,modify
User1415,just bolt,them
bolts,go into,motor
User1415,adjust,your positioning
User1416,mentioned in,last comment
User1416,have,guru status
Answer1416,summarize for,anyone
z,get,closer to bed
Answer1416,'m,now stymied
50C,is In,my case
Answer1416,now 'm stymied,trying
Answer1417,personally have had,fine results printing with .35 mm profiles on .5 mm nozzle
User1417,can tell,it
results,printing with,.35 mm profiles
torque settings,are different for,motors
torque settings,are,different
User1417,keep,low profile NEMA 17
User1418,'ll find,good ideas
User1418,can do,forum search
Lulzbot,has,instructions for clog clearing
Answer1418,grabbed from,someone else 's post
TAZ5,comes in,it
User1418,'re,sure
User1418,leave,extruder
ABS,last of is,head
User1418,leave extruder at,ABS temperature
User1418,switch to,PLA
User1418,could use,eSun 's extruder-cleaning filament
one,is,hard
Answer1419,'ve seen before,before my AO-10x
Answer1419,'ve seen,it
something,similar to,that
loose extruder gear setscrew,can cause,something
Answer1419,'d reccommend,checking everythng for slop
Drag,caused by,overextrusion
change,is in,layer pattern
RT1,is,NTC thermistor used as inrush current limiter
Answer1420,thanks to,awesome support staff at Aleph
new power supply,is in,hand
User1420,can get from,Mouser
supplies,are,identical
subtle differences,is in,component layout
odd angle,is with,its adhesive bond to PCB having broken
inductor,was at,odd angle
that,are,fine
My Taz,is humming away on,new supply
new supply,fail,once warranty
My Taz 5,is,old
My Taz 5,is old,about month
machine,totally reset,itself
printer,seemed,reset
Power,cycled,it
Power,restarted,job
supply,went out during,bed pre-heat
User1420,give,call
User1420,give,them
Extruder bars,measuring from,stepper motor to bar
Answer1421,leveled Extruder nozzle,making
16 different points,is in,bed
Answer1421,made,sure
measurements,are,same around
Answer1421,leveled,everything
everything,using,way measuring
Answer1421,allow,cooling time between layers
Answer1421,will make,print
Answer1421,printed,items
Answer1422,had,sound like that
Answer1422,looking at,it
Answer1423,'ve had,similar problem
Answer1423,'ve had problem with,my TAZ5
particles,is in,gaps on sides
metal sheets,cut into,small strips
only way,partly remove bearing from,its holder
Answer1423,found,reach into there
bearing axle,is,On TAZ5 tight friction fit in printed part
Answer1423,pressed bearing holder arm against,flat piece of wood
Answer1423,pressed,bearing holder arm
room,clear,particles
bearing,reassemble,everything
Answer1423,do once,that
Answer1423,have,idler bearing
User1424,rig,your printer
User1424,engineer correctly,it
Quality,should,should comparable
good hotends Temperatures,be about,same
User1424,do,alot of different highly technical printer modifications
wires,extruder,body layout
additional wires,changing,firmware
additional wires,engineering,new mount
User1424,figure out,dual extruder printing offsets
User1424,figure out,etc.
Answer1424,would rate as,very complicated project
sale,is in,lulzbot store
Answer1426,spent,more time
more time,fixing,my TAZ5
Answer1426,have had clogs on,hexagon head
clogs,is with,ABS
alexrj,has,guide https://github.com/alexrj/Slic3r/wiki/Calibration
mhackney guides viewtopic.php?f,gradually implemented,lulzbot guides
Answer1426,have made,separate copies of firmware
one clogs,clean,it
saw,is in,forum
Answer1426,have adjusted idler tension to,~ 4 mm
lulzbot guides,supported by,richrap i
Answer1426,have adjusted,idler tension
lulzbot guides,suggests,8 mm between washers
home,circuits around,corners
home,circuits around,middle of edge
my bed,using,80gsm sheet of paper starting with corners mid level
Answer1426,getting,almost perfect calibration prints
Found printer,is in,happily finished position with print
isopropyl alcohol,with nozzle is,manual extrude
Cold,pulls,scrub nozzle
nozzle,is with,isopropyl alcohol
Repeat,is with,similiar results
thin stream,pulling off to,side
heating,is with,heat gun
prints,fails on,big items
Answer1426,noted,mis-alignment of hobed bolt teeth with extruder hole
Answer1426,noticed on,one occasion
difficulty,advancing filament,what appeared
someone,direct,me
someone,have,suggestions
Answer1426,being,am driven
Answer1426,drink by,damn thing
Answer1426,afford,alcoholic
Answer1426,was printing in,filament trial test
woodfill,left,residue
each,have,Once have cut away
sections,is in,half
voids,causing,air pockets
Continue,snapping filament sections into,about total of 4-8 pieces per sections
photo,shows,illustrations of voids
trusted supplier,would,would your best bet
Answer1426,can find,that
Answer1426,have personally experience again,several clogs
Answer1427,luck with,this
User1427,can try,cold pulls
User1427,can try pulls with,PLA
teeth,be blunt due to,chewed away filament stuck in them
good blow,compressed,air generator
Answer1427,always give,it
air generator,good blow out,out high pressure
User1427,run filament through,through nozzle
nozzle,is in,acetone
User1427,could use,blunt end of 3 mm drill bit
Heating,is with,blow torch
early crappy filament,to fast is,print speed
Lulzbot,shipping,documents
Answer1428,am,So much less happy
day,was,contacted
day,provide,missing information
Answer1428,was after,my post
Lulzbot shipping manager,has,has involved since 1 June
FedEx,ship,old one
Answer1428,am caught in,middle
Answer1428,am,caught
Answer1428,getting,frustrated
User1429,should turn off,printer
User1429,turn,one screw
Measure,is with,ruler
belt,is in,direction
User1430,have lifting For,starters
Answer1430,bumping,bed temperature
User1430,are probably overextruding,bit
calipers,is in,3 places
your actual fillament diameter,take,average
your fillament diameter,use,number
User1430,adjust slightly,esteps of your extruder
3d printer calibration,follow,guidelines
User1430,measured from,first time
your mark,is from,how far point
User1430,measuring up,110 mm of filament
couple,is with,links how do in forum here
your extruder,is solidly mounted to,X carriage
your extruder,is,solidly mounted
full contact,is with,rails themselves
User1430,move,rail bearings
User1430,may have,is
User1430,check,your starting layer height
User1430,can get,excess
User1430,are getting,lifting
User1430,are getting lifting on,small
bearing carrier,was,when made
heat,spread through,entire nozzle area
few minutes,allow,heat
mm,extrude operations into,air
mm,starting,print ensure
User1432,push,filament
User1432,push filament through,nozzle
User1432,push filament with,idler
your mount plate,clear,clog
User1432,see,it looks
swell,is in,heatsink
IPA,does eventually,dry out PEI
knob,be,finicky
User1433,even further granularity than,end
positive off-swt value,moves,nozzle higher for less adhesion
Answer1433,try,stay
print,PEI at,50C
Answer1433,stay,aware
my PEI,FWIW is starting also to,bubble
Answer1433,think,its humidity
Answer1433,'m starting,play with raft settings
TAZ 5 ships,is with,single extruder toolhead
toolheads,are,interchangeable
editions,use,ceramic hotends
LB,on,site
toolheads,require,firmware downgrade
dual hexagon toolhead,is in,works
https://devel.lulzbot.com/TAZ/accessories/,look for,javelin
User1434,can follow,development
project name descriptions,are at,bottom of page
Good pictures,is in,photos directory
User1434,acquire,set
Answer1435,had,problem
solutions,listed here without,luck
Slow speeds,have,more wobble than faster speeds
Answer1435,could get,higher temps
harmonic ripples,is in,Taz 5 hot end
Answer1435,printed out,it
Answer1435,flashed back,firmware
problem,has,has resolved
Answer1435,would definitely recommend,doing so since my Taz 4
I would recommend,is,consistent
User1435,accidentally destroy extruder idler out of,frustration
nut,can,can accessed for easy removal
other components,have,screws
nut,happened to,me
drill bit,destroying,one
idler body,just meets,extruder body
drill bit,hits,nut
anyone,still having,issues
Taz,has,2 rods
M2,have,issues
User1436,get,flex
issues,is with,excess play on edge furthest from linear rail
Z axis,is stable due to,second bearing rod
Z axis,is,stable
Taz,is,same
Taz 4,is,basically same as Taz 5 just with different hotend
printers,are,units
Answer1436,'m big fan of,fully supported bearing rails
Answer1436,'m,much fan
costs,competitive with,other printers
filament size,have,same effect
both,will reduce,feed rate for filament
both,thus allow,melted plastic
clogging,slow build of,pressure in chamber
Answer1437,would change diameter size rather than,figure
User1438,are printing with,fillament
fillament,extruding,due
fillament,probably stopped,extruding
fillament diameter,set,wrong in slic3r
User1438,have,should fit in theory
plastic leakage,tends,act like glue
User1438,removing,it
Might,be,worth
User1439,are using,Slic3r
User1439,Print,settings/Advanced/First layer
User1439,can adjust,first layer extrusion
Something,needing,5V
Something,connections for,metal hot ends
pins,are,24V pins
Answer1440,pull up,build documents for TAZ 5
curve transition,could,could confusing S3D
does part look,is in,preview print
Taz 4 changes,are,1
printed,cut,Z leadscrew
upper Z leadscrew,bearing,assembly
User1442,source,bearing
User1442,source,rod
Electronics enclosure,imprve,functionality
Electronics enclosure,is,cosmetically different
supply,is,new
supply,is,encapsulated
someone,be,interested in
Z axis changes,are,most signficant changes overall
more,traveled,TAZ section of forum
more,get,better answer for this
large bed printer,is with,all up leadscrews on Z axis
electronics,are,24 volt
green octopus,is in,ABS
User1444,were close to,too bed
User1444,end up with,that lumpy
your fillament diameter settings,is in,your slic3r
Fillament,varies in,width
your calipers,take,average
User1444,have there,temperature control issues
User1444,get,blockages
TAZ,is in,forums
several projects,add,capability
Mitsumi,are,your best bets
that,sounds about,about my luck
anyone,is wondering In,case
x,to end is,then y =
following gcode,home hot end to,x
Answer1448,'m also using,second method shown above
Answer1448,have,two problems
ruler technique,suggested by,AO
Answer1448,using,something like top gauge
Answer1448,lay on,metal tray
Answer1448,Instead use,little sliding clip
Answer1448,find,timeout on LCD
digital gauge,using,printed bolt
Answer1448,needed,buy
all,was,dial indicator itself
I agree,is,essentially impossible
Answer1448,agree,measuring to x axis rods from aluminum bed per instructions
needed,is,aluminum plate
plate,has,screws
glass plate,dropping into,machined recess
User1448,have,handles on it
print,is,when done
User1448,can remove,glass
metal parts,are,20 mm
User1449,can source,them
fittings,are mix of,M5 T-slot nuts
fittings,are,mix
User1449,give,look
User1449,give,link
printer,is fed,line of code
printer,is fed line at,time
first layer,is bit close to,too bed
first layer,is,bit
Z-axis endstop,screw,adjustment
quarter,turn up at,time
Answer1453,re-flash,it
nozzle,reach,temperature
User1454,can push fairly hard against,extruder
User1454,get to,work
your nozzle,Using,PLA
your nozzle,Using,HIPS
extruder idler,pull out,filament
temperature,is,Once reached
User1454,should have,perfect mold of inside of hot end
end,should taper to,cylinder
foreign particles,is in,your mold of nozzle
Answer1455,have had,my TAZ5
Answer1455,have run,PLA
Answer1455,clean tip pretty well though after,print
that,Maybe 's keeping,it happy
MakerGeeks,sells,0.303 mm
Answer1455,would look around though for,.30 mm copper wire
MG wire,is,steel
Answer1455,suspect Over,many uses
Lulzbots,are,great printers
User1456,creating objects from,digital data
User1456,creating,objects
fact,Adding is to,complexity
User1456,can mitigate,issues
forms,simplify for,process
User1456,get,good print
Guys,offer,Youtube videos
User1456,rarely print,something complex
User1456,rarely print something complex as,single part
Understanding,is,start
will road,is In,fact
materials,require,special print heads like Ninjaflex
some,may argue,point
error,can present,problems
problems,very minor error in,range of tenth of millimeter
User1456,can see here,many topics
User1456,deal with,them
User1456,'re,mechanically inclined
Answer1456,added,few hundred dollars of upgrades
Answer1456,offers,solutions
temperature,is in,build envelope
Answer1457,use,design
Answer1457,use design as,starting point
BUT,will,will breeze assemble
I 'm thinking,is,pretty brittle
Answer1457,using,PETG
Answer1457,using PETG for,panels acrylic
Answer1457,so would go,thicker than 1/8
door opening,is,Also pretty small
User1457,finish,yours
Answer1457,did go with,Acrylic 1/4
Answer1457,wanted,unobstructed view from angle
Answer1457,kept,it same size
Answer1457,work with,more room
Answer1457,wanted,laser cut
Answer1457,wanted laser cut because of,tolerances
doors,leaving,just 2 mm total clearance
doors,leaving,1 mm
Answer1457,remodeled,one
only issue,is,corner bracket
Answer1457,reprinting hinge part with,rod
Answer1457,reprinting,hinge part
Answer1457,did,top 60 % of that at 100 % infill
little,changing,extrusion multiplier
next layers,get messed up,too EDIT
Yea,was,broken wire
Answer1459,sent,them
Answer1459,sent,my entire extruder
Answer1460,sanding,PEI
projects,is with,large surface areas on bed
business card,should pass between,nozzle
knob,get,initial setting
Z-end,stop,knob
Z-offset,is in,gcode
Brim,keep,air
Answer1460,put,tape
Answer1460,put tape on,brim
grab,remove,extruder
left,is with,tweezers
extruder assembly,is,held
extruder assembly,is held to,tool head
User1461,might,might able
back screw,removing,front screw
screw,holding,pulley
Answer1462,emailed,support
screw,holding pulley to,x-axis motor drive shaft
User1463,can cut,plexiglas
User1463,can cut,How thick plastic
Answer1464,use daily,them
Answer1464,have,many 3D printers
Answer1464,own,2 CNC mills
Answer1464,made,sure
them,make right,things
Lulzbot representative,take look via,my serial number I of course
Lulzbot representative,take,look
Answer1464,saw,response
Answer1464,adding,tone
Answer1464,had,issues
Answer1464,close,post
bed,was,Yes taped
holder,bend,holes
tape,was,too aggressively applied
tab,spin out of,way
X-axis belt pinion,was,very loose
User1464,can clearly see,it
My assumption,based,engineering report said
printer,work during,QC
motor,so tight miss,3/4 of its steps
Answer1464,have attached,picture of octopus
Answer1464,fixed,Z
left Z axis,was one,bound
Answer1464,homed,printer
X beams,were,parallel
X beams,were parallel to,Y plane
Z axis,is,touchy
lead screw nuts,tolerate,misalignment
Answer1464,am in,Virginia
printer,was tested in,Colorado
printer,was,tested
difference,is in,humidity
TAZ,needs,some better alignment capabilities for Z leadscrew nut
second pic,is,bad print
engineering,was involved,means
engineering,was,involved
Instructions,are,available here
Any,is,bad
Any,clicking from,gears
Answer1467,start if with,visual inspection
Wade,with,setup
bolts screws,are,tight
filament,moves without,binding
Answer1468,have,have 8 diameter
width,can,can removed from final enclosure dimensions
Answer1469,was,just testing
test,would only last,about 15 mins so
fuses,2 at,least
Answer1469,However had blown,at least 2 fuses
it looks,has,resistance of 0.65 ohms at room temp
Answer1469,was using,fuse blew
Answer1469,could turn off,power
only decent solution,use PID control for,heat bed
solution,use,PID control
default firmware,is with,that shipped
we can sense limit,is in,firmware
User1469,so look at,it
Answer1469,post,link
Answer1469,post link at_time,probably tomorrow
User1469,could very easily try,something lower
firmware,can help,DR No on bigger fuse
Answer1470,got,help
results,is in,case anyone
their,ends in,currently Mini
Lulzbot,avoid,problems in future
copper,more efficiently conduct,heat
copper,more efficiently conduct heat to,heating block
copper,mesh around,resistor
my faith,is in,my printer
User1471,can move,motors
voltage,is,when applied
User1471,measure,output
User1471,can also set,your multimeter
fuse,is as,there fail-safe
hotend heating element circuit wires,are,red
hotend thermistor circuit wires,are,orange
bed heating element circuit wires,read,1.6 ohms
bed thermistor circuit wires,are,yellow
two-pin connector,reading,resistance across two pins
heating element,is,blown
4.7 ohm heat resistor,needs,replacement
4.7 ohm heat resistor,needs replacement In,case
voltage,being,sent
future 24v TAZ,will have,change made at factory
User1471,prevent,happening
problem,is in,heating element/thermistor itself
bed/hotend,two-pins for,bed
continuity,is in,leads from board to heating element connector
your multimeter,put,one terminal
User1471,can remove pins from,connectors
User1471,using,pokey thing
everything,seems,ok
retaining tab,push,it
100-110C,are recommendations from,Lulzbot
100-110C,are,recommendations from Lulzbot for PEI bed
ABS,adhered pretty well to,PEI
100-110C,could cause,discoloration of light colored ABS
your slicing software,supports,multi-temps
70C,is,good
Answer1472,tried,strategy
Answer1472,tried strategy for,my latest HIPS print
air,producing,nice plastic tumbleweed
extra channel,available for,use
part,is known as,Full Graphic LCD
part,is,known
Your polished option,be,different board unfortunatly
Answer1474,'d personally send E to,support guys
Answer1474,'d personally send,E
Answer1475,cleaned PLA jam very carefully out of,my 3 mm hexagon
Answer1475,cleaned very carefully,PLA jam
Answer1475,used,1/8 inch bit
Answer1475,clean out PLA from,top opening
heater,block down to,nozzle
Answer1475,bore,about .5 cm
Pictures,are in,link below
Answer1475,contacted LulzBot Support at_time,afternoon
Answer1475,contacted,LulzBot Support
Answer1475,'m in,process attempting
direct contact,is with,heat-sink
Pictures,can,can found here
Answer1476,try,some
Lulzbot Taz,will,will there something bigger
Answer1476,buy within,few months
Answer1476,mad science-ing on,on about year now
Answer1476,'m also quite happy with,my TAZ 4
Answer1476,'m,also happy
one,is,weird
Answer1476,previously had,Lulz-style Dually mounted on my printer
Answer1476,recently switched out,it
stock,smooth,rods
My new extruder,works with,dual-nozzle single-heatsink jobby
HPX2Max,is,nice
nozzles,are,ALWAYS levelled
PLA,tends In,all-metal hotends
couple fixes,seasoning hotend by,coating
small amount,is in,oil
other,use,paste
Answer1476,personally use,very thick ABS/Acetone slurry
ABS,require,bit more effort at first
PLA,use,gluestick
PLA,can,can printed on bare glass bed
Answer1476,actually usually use,mixture
Answer1476,Can expand,LulzBot Taz 5 printing bed area
User1476,'d need,aluminum extrusions
inches,are,fine
Answer1476,'ve printed at,.06 mm layer height
Answer1476,'ve had with,nylon
biggest problem,is,adhesion
Answer1476,am,apparently addicted
zip ties,of supply is,bolts
Answer1476,have,supply of zip ties
Answer1476,would do,used to printing
Answer1476,get,most of my filament
half car,ride away from,me
User1476,'re,Once more accustomed
User1476,find,more interesting materials
Answer1476,want in,corner of apartment
extruder,goes directly into,hotend
filament,leaves,gears/motor section
PTFE tube,leading from,there
User1476,need,much higher retraction
Answer1476,ran as,bowden
filament,more,lot
Lulzbot,has,TAZ Fine ABS 0.35 mm Nozzle profile
User1478,have,mini blower for hotend heat sink connected to right connector
other fan,is,24V
heatsink fan,runs on,5v
chances,are,little fan
little fan,is,bad
Answer1479,first got,TAZ 5
Answer1479,have,same issue
Answer1479,show,you
That,has,big
That,has,few
That,has,first
Answer1480,'ll give,mu
Answer1480,'ll give,you
Answer1480,like,105C
Answer1480,like,110C
YMMV,Try,bumping
YMMV,Try bumping up,bed
layer height,is,.2
User1480,want,help
point,is in,project
new layers,minimize shrinkage,ABS cools
new layers,minimize,shrinkage
Ambient temperature temps,play here also,part
User1480,can maaake,print smaller
air,gets under,edge of print
User1480,'ll get warping,air gets
User1480,'ll get,warping
brim,helps,seal
z-offset,is in,slicing software
end,stop,knob
User1481,square,everything up to bed
User1481,make,adjustments
dial depth gauge,would,would most quantitatively accurate
nozzle,adjust,z-axis
z-axis,using,feeler card
Tip,leave,room
Allen wrench,reach,adjustment screw
few points,reevaluate,corners
shape,means,squash
g-code offset variable,is in,your slicer software
User1481,move,machine
bed,is,Once level
Clean hobbed bot,is with,brush
Support,is with,one hand
nozzle,is,clogged
cold pulls,may clear,clog
result,be,conical
result,should,should imprint
Answer1482,'ve seen,much better instructions with pictures
details,is in,other thread
Answer1483,made print from,Cura 's gcode
Cura,'s gcode is,standard ABS fine profile
Answer1483,made,print
fan,was on,on minimum layer-time cooling-logic
Cura,has,bridging result
Cura 's bridging result,Overall was better than,slic3r
Cura 's bridging result,was,Overall better
slic3r,Comparing,two gcode files
Cura 's code,would make,bridge
Cura,has,code
Cura 's code,would make bridge in,one continuous feed with perimeter of layer
tool path,aspect of is,case
Answer1483,look at,retraction/ooze-control
Answer1483,will have,look
Answer1483,'m,pretty inexperienced
Cura,had,fan on option
Answer1484,still use,8 binder clips
Answer1484,'m,also curious
Having,is kind of,convenient
Having,is,kind
Answer1484,just unclip,it
Answer1484,gently bend,PEI sheet
Answer1484,pry pieces off,bed
Answer1484,pry,pieces
part,has,base
Answer1484,suggested from,other forums
Answer1484,literally have,chunk
Answer1484,am doing,wrong
FilaFlex,is bear,get
FilaFlex,adheres like,ABS
Answer1484,actually reduce,abs adhesion
Answer1486,was,lucky
Answer1486,had,it connected correctly
Answer1486,checked for,dots on small fan connector
connectors,is in,step 7
Your Y belt,is,either
pulley,is,loose
bearing,is,gummed up
direction,is,direction
direction,is direction of,belt problem
part,is out of,round
May,also want,check
May,check for,bearing binding on Y axis
challenges,is with,open source
silicone pad,keep,temp
nozzle,make,plans catch
Answer1489,let,rated
Answer1489,used,large locking forceps
Answer1489,drilled out,filamemt
Answer1489,drilled out filamemt with,low powered hobby
Soak,is in,jar of acetone
dig,put,ABS
dig,put ABS with,toothpick
should clean,is,cleared
your nozzle,Use,strand
your nozzle,Use strand to,thread
your build plate,make,sure
nozzle,is,dry
heater block,will,will hot
User1489,'ll only have,5-10sec
everything,cool to,20-30C
Heat,is With,idler open push filament
folks,moved from,hexagon
hexagon aluminum plate,is,slightly too thin
hexagon aluminum plate,is slightly too thin for,E3D from my limited experimentation
my stock nozzle,was,clogged
Prints,were,considerably faster
My original layer height,is with,stock .35
My original layer height,was .2 with,extrusion width of .4
original print time,was,3 hrs cut down to 2 hrs
Answer1490,switching to,volcano
Answer1490,'d give,.5 mm nozzle
Kauri,faces,many revisions
OP,thought id give,everyone
my replacement,is making,pulsating electrical hum
Answer1492,'d like,know
Answer1494,think with,plug in pause at height
my computer,is in,Cura
current plug,is in,that
current plug,being used for,current print
plug,being,used
User1494,use,X icon
My factory TAZ 5,is like,just this
Fan,spinning till,about 27 %
Ok,thanks for,replying
Answer1496,used,KITTAZ Rambo board.enclosure
Answer1496,used KITTAZ Rambo board.enclosure on,my hardware
Answer1496,'m starting,think
Answer1496,think,the
issue,flashed with,firmware
KITTAZ,was running,Marlin 2014Q3 RevB
Answer1496,revert back to,to hex file
Answer1496,was attempting,revert
2015Q1 version,was,also a
Answer1496,flashing directly,tonight
Answer1496,flashing tonight directly with,Arduino IDE
Answer1497,'m printing onto,PET sheet
Answer1497,'m also applying,liberal amount of Lulzjuice
Answer1497,tried,make
Answer1497,started,using
Lulzjuice,b/c,print
Answer1497,use Lulzjuice with,my prints
Answer1497,make yet,switch
Answer1497,buying,PRINTinZ flex plate
Answer1497,buying PRINTinZ plate from,AdaFruit
Answer1497,reading,posts in forum about PEI
Answer1497,had,I originally mentioned
Answer1497,using,edge of bade
Answer1497,slowly twisted,knife
Answer1497,slowly wedge,itself
Answer1497,eventually pried off,piece
User1498,remove filament,get
User1498,remove,filament
notched area,is,weak
spool,make,sure
Answer1498,'ve had,spools
ceramic,works for,TAZ4
other,paste,extruder
fan,is in,PSU
issue,is rated to,600 °
issue,is,rated
issue,is with,spray adhesive
gasket,is,where compressed between two metal surfaces
Answer1501,hate,tape
spot,measure,filament diameter
spot,dial down,flow multiplier
knob,seems,defaults to FR on my TAZ5
move,is in,slicer program
User1502,have,fragile print
Lulz,was out of,stock
He,was,surprised
mistakes,happen,really happy
thing,is with,flat nozzle direct so less
buddy,hitting,bed
Answer1505,'ve contacted,support
small hotend fan,read,4.95 V
Answer1505,'ve tested,hotend fan
Answer1505,finally completed,my first print
Answer1505,also loosened,Filament idler
Answer1506,breaking down,it
idler bolts,as tight as,possible
Answer1506,sent,long slow extrusion command
Answer1506,So instead left,idler bolts loose
everything,seemed,be grabbing
Answer1506,could slowly tighten,bolts
issues,is with,resistance in my extruder
Answer1506,Second had,issues
Answer1506,had recently had PLA jam in,PTFE tube
Answer1506,had recently had,PLA jam
Answer1506,clean,that up
User1506,need,more details
Answer1506,turning,temp
Answer1506,was,able
Answer1506,get,good results
Answer1506,get results with,my black
Answer1506,turning temp up,up 185
filament,is,slightly different
left side fan,already hooked up,up my KitTAZ
Answer1507,upgrade to,new metal hot end
soldering leads,is,easy
Thanks,left,side fan duct file
User1508,use,firmware provided with dually
User1508,will,TAZ 5 will able
User1508,if/when switch back to,hexagon extruder
glass,is,used
User1509,have,steel ruler
User1509,can use,edge
User1509,verify,flat
edge,see,is gap
User1509,just missed,step
Answer1510,'d go,I were looking for exact replica
.5 nozzle,requires,less filament than .35 nozzle
nozzle,hit,edge of print
nozzle,hit edge after,few layers
Answer1510,Pick,small part
Answer1510,'d try,gcode
Answer1510,Pick part as,test
Answer1511,'ve observed,lot confusion/misunderstanding
Extruder calibration,has,nothing do with hotend
Extruder calibration,is determining,number of steps required
stepper,how many steps per,revolution
User1511,can swap,ends
